# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=2112018396
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=testtraces_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,B,Q
-3997.41,0.831759,1.03657,2,7,0,3998.83,0.929171,0.895185
-3997.73,0.842099,1.14374,2,5,0,3997.93,0.918758,0.894529
-3997.73,0.0731631,1.29252,1,3,0,3997.94,0.918758,0.894529
-3998.12,0.999374,0.223435,4,21,0,3999.3,0.936515,0.893489
-3998,0.997238,0.373126,2,5,0,3998.51,0.937207,0.891356
-3997.49,0.944242,0.615437,4,15,0,3998.97,0.926971,0.896233
-3997.49,0.0255052,0.888173,1,1,0,4001.8,0.926971,0.896233
-3997.55,0.999983,0.144153,4,31,0,3997.7,0.917023,0.895535
-3998.15,0.122493,0.953328,2,5,0,3999.35,0.923163,0.892581
-3998.15,0,2.78141,0,1,1,4001.74,0.923163,0.892581
-3997.72,1,0.292957,2,3,0,3998.19,0.923331,0.893201
-3998.22,0.981236,0.316834,3,7,0,3998.42,0.934248,0.894833
-3998.35,0.961319,0.415857,2,7,0,3999.79,0.909338,0.897312
-3998.47,0.629815,0.587019,2,3,0,4000.04,0.931902,0.896159
-3997.16,1,0.323361,2,3,0,3998.59,0.92066,0.895446
-3997.87,0.811175,0.569736,2,7,0,3998.18,0.911787,0.897169
-3997.63,0.991122,0.574266,2,5,0,3998.95,0.932399,0.894333
-3997.63,4.6527e-05,1.03592,1,3,0,3998.93,0.932399,0.894333
-3997.37,0.999947,0.0822936,4,15,0,3997.73,0.929481,0.892927
-3997.6,0.988745,0.155595,4,23,0,3998.77,0.9128,0.89758
-3997.78,0.941084,0.285441,3,15,0,3999,0.924489,0.897561
-3997.43,1,0.451187,3,9,0,3998.07,0.931774,0.892874
-3997.44,0.117488,0.855976,3,7,0,4001.47,0.922006,0.897571
-3997.64,0.999929,0.104873,5,63,0,3997.93,0.927809,0.8924
-3997.07,0.999498,0.200169,4,19,0,3998.59,0.923725,0.895162
-3997.14,0.999333,0.378816,3,15,0,3997.17,0.927279,0.894428
-3997.67,0.816986,0.710625,2,7,0,3998.02,0.934596,0.892386
-3997.17,0.687473,0.763599,3,7,0,3998.51,0.92019,0.897083
-3997.83,0.865739,0.557413,2,7,0,3999.58,0.935757,0.891736
-3998.12,0.482638,0.693256,2,3,0,3999.58,0.938165,0.89115
-3997.68,0.985468,0.279557,2,7,0,3999.17,0.933928,0.893569
-3997.56,1,0.49389,1,1,0,3997.69,0.932956,0.893676
-3998.9,0.713193,0.901387,2,3,0,3998.96,0.941496,0.892395
-3998.41,0.986481,0.717704,2,7,0,3999.33,0.9216,0.89267
-3997.47,0.333335,1.24435,1,3,0,3997.64,0.926116,0.896484
-3999.66,0.972913,0.341354,3,7,0,3999.83,0.911786,0.902483
-3999.23,0.846786,0.568279,1,3,0,4001.51,0.919845,0.900476
-3999.57,0.970311,0.662148,2,3,0,4000.33,0.918279,0.90115
-3999.57,0.000562344,1.07936,2,3,0,4000.56,0.918279,0.90115
-3998.58,0.99974,0.12532,3,15,0,4000.04,0.911567,0.901254
-3999.62,0.953834,0.222381,2,3,0,3999.63,0.913531,0.902156
-3997.86,0.980823,0.345814,2,7,0,4000.33,0.917069,0.899371
-3997.89,0.923878,0.573522,3,7,0,3998.55,0.920466,0.898747
-3997.74,0.100477,0.812288,2,3,0,3999.8,0.928213,0.892117
-3997.82,0.999301,0.133536,2,3,0,3997.84,0.928235,0.89198
-3997.51,0.998872,0.231236,2,3,0,3997.89,0.930192,0.892409
-3997.09,0.995024,0.396565,3,11,0,3998.46,0.923639,0.895873
-3997.15,0.964906,0.667892,3,7,0,3997.5,0.925449,0.894265
-3997.68,0.505943,1.0341,1,1,0,3997.88,0.92931,0.895826
-3997.15,0.985618,0.502403,2,7,0,3998.92,0.918821,0.896464
-4000.27,0.592451,0.815402,2,7,0,4001.69,0.948622,0.887461
-3999.33,0.856241,0.496679,3,7,0,4001.65,0.92273,0.891376
-3998.44,0.920957,0.582486,2,7,0,4002.94,0.912455,0.895708
-3998.44,0.0128309,0.798051,2,3,0,4000.77,0.912455,0.895708
-3997.68,1,0.120641,3,7,0,3998.44,0.91536,0.895917
-3997.48,0.999998,0.201173,4,23,0,3997.87,0.928722,0.895571
-3997.1,0.997581,0.333074,3,11,0,3998.03,0.920135,0.896416
-3997.57,0.932052,0.544508,2,7,0,3997.89,0.930891,0.892196
-3997.31,0.650988,0.757681,2,3,0,3998,0.92851,0.893222
-3997.41,0.99848,0.543531,1,3,0,3997.5,0.931085,0.892816
-3997.42,0.894036,0.878739,3,7,0,3997.89,0.929666,0.892746
-3997.36,0.998922,1.10899,1,1,0,3997.44,0.931,0.893805
-3997.36,1.46949e-07,1.77533,1,1,0,3997.45,0.931,0.893805
-3997.32,0.958873,0.289114,3,7,0,3998.43,0.924398,0.896629
-3997.1,0.983153,0.423647,1,3,0,3997.48,0.920427,0.896067
-3997.53,0.873138,0.652543,2,5,0,3998.36,0.924495,0.893288
-3997.33,0.970349,0.781379,2,5,0,3997.69,0.918095,0.897986
-3997.33,0.0555373,1.15912,2,6,1,3999.02,0.918095,0.897986
-3997.31,1,0.225969,2,3,0,3997.33,0.918132,0.897921
-3997.15,0.992828,0.358705,2,7,0,3998.54,0.922395,0.896559
-3997.91,0.894387,0.557471,2,7,0,3998.44,0.909755,0.898572
-3998.07,0.970734,0.695801,2,3,0,3998.27,0.910342,0.900339
-3998.07,1.12649e-14,1.02165,1,1,0,4000.36,0.910342,0.900339
-3998.48,0.972607,0.185278,2,7,0,3999.07,0.907192,0.898302
-3997.58,0.881388,0.273945,1,3,0,4000.23,0.914499,0.899024
