# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=890819740
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=./testtraces_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,B,Q
-4082.39,0.739665,0.697866,2,7,0,4083.22,0.898467,0.901099
-4082.81,0.56535,0.62781,2,3,0,4084.2,0.893463,0.899781
-4082.42,0.991953,0.400458,2,3,0,4082.91,0.895748,0.900123
-4082.52,0.982521,0.594078,2,7,0,4082.73,0.893439,0.902352
-4082.29,1,0.861885,2,5,0,4082.52,0.898766,0.900056
-4082.29,2.64615e-09,1.28918,1,1,0,4084.13,0.898766,0.900056
-4082.7,0.983018,0.27579,3,15,0,4082.8,0.898417,0.898344
-4082.4,0.992255,0.399773,3,7,0,4082.8,0.903437,0.899356
-4083.3,0.686849,0.587834,2,7,0,4084.59,0.913257,0.897199
-4083.07,0.972498,0.479981,2,7,0,4084.53,0.897318,0.897958
-4082.78,1,0.676692,1,3,0,4083.24,0.900676,0.897553
-4082.31,0.576572,1.00199,2,7,0,4082.4,0.899493,0.899464
-4082.78,0.884144,0.664416,2,7,0,4083.13,0.899542,0.901876
-4082.88,0.903917,0.788455,2,7,0,4083.61,0.908049,0.896144
-4082.88,0.0235175,0.969451,2,5,0,4083.44,0.908049,0.896144
-4082.87,0.985913,0.230456,3,7,0,4083.36,0.910334,0.897432
-4082.53,0.999797,0.331069,3,7,0,4082.94,0.905328,0.897512
-4083.1,0.894929,0.486446,2,3,0,4083.22,0.901823,0.896702
-4082.29,0.778218,0.587326,2,7,0,4084.29,0.898243,0.900169
-4082.97,0.974897,0.571607,4,15,0,4083.09,0.889685,0.904059
-4082.97,0.288695,0.79677,1,1,0,4084.03,0.889685,0.904059
-4082.97,0.652915,1.27228,1,1,0,4083.32,0.889685,0.904059
-4082.97,0,9.73731,0,1,1,4083.96,0.889685,0.904059
-4082.97,0.00116216,1.36491,1,1,0,4083.09,0.889685,0.904059
-4083.13,0.998157,0.121364,6,63,0,4086.7,0.907545,0.895604
-4083.2,0.997861,0.152774,4,15,0,4083.44,0.910359,0.898634
-4084.44,0.981616,0.227354,3,15,0,4085.82,0.887926,0.899447
-4083.05,0.984915,0.355672,2,3,0,4084.75,0.889996,0.900738
-4083.18,0.975415,0.596007,2,3,0,4083.55,0.891301,0.899887
-4084.38,0.797524,1.00423,2,3,0,4084.99,0.895109,0.905131
-4084.38,0.00677227,0.984251,2,3,0,4086.53,0.895109,0.905131
-4083.3,0.997897,0.0798318,4,23,0,4086.02,0.888744,0.904889
-4083.45,0.998355,0.15002,2,3,0,4083.46,0.888642,0.905176
-4083.17,0.845833,0.283948,3,11,0,4088.07,0.90504,0.900819
-4082.61,1,0.333385,3,7,0,4083.4,0.893835,0.900193
-4082.61,0.88152,0.634541,2,3,0,4083.16,0.894344,0.899954
-4082.61,0.720447,0.832463,1,3,0,4082.96,0.894344,0.899954
-4082.35,0.989721,0.664144,2,7,0,4083.27,0.901723,0.898711
-4082.35,0.0160899,1.21171,1,3,0,4083.48,0.901723,0.898711
-4082.61,0.99759,0.114712,4,31,0,4082.94,0.895833,0.899396
-4083.08,0.984947,0.215766,4,19,0,4084.01,0.91172,0.895692
-4083.19,0.978276,0.387268,3,7,0,4083.65,0.913076,0.896757
-4082.31,0.987749,0.675452,2,7,0,4083.29,0.898069,0.900627
-4083.36,0.154825,1.20061,1,3,0,4083.93,0.885008,0.902802
-4083.3,0.990821,0.18781,4,23,0,4084.27,0.907997,0.899899
-4086.01,0.855629,0.337416,3,11,0,4091.57,0.917687,0.899166
-4086.18,1,0.407995,2,3,0,4086.75,0.919224,0.898662
-4083.36,0.966831,0.740358,2,3,0,4084.91,0.91449,0.896295
-4083.08,1,1.21181,1,1,0,4083.32,0.90971,0.895543
-4083.08,2.59541e-28,2.15756,1,1,0,4083.18,0.90971,0.895543
-4083.58,0.954823,0.240407,2,7,0,4084.78,0.913172,0.898013
-4082.61,0.996645,0.379707,3,11,0,4084.18,0.892099,0.901052
-4082.66,0.793705,0.666809,2,7,0,4083.4,0.904041,0.900132
-4082.96,0.507736,0.671622,2,3,0,4085,0.892221,0.899954
-4083.18,0.992688,0.315027,3,15,0,4083.94,0.910572,0.898479
-4082.34,0.928364,0.540809,2,7,0,4084.53,0.896272,0.901162
-4082.4,0.995772,0.777187,3,7,0,4082.41,0.894261,0.901276
-4083.71,0.337843,1.32394,2,7,1,4083.96,0.883213,0.905783
-4082.78,0.97765,0.407366,4,15,0,4085.13,0.905619,0.896621
-4082.38,0.900956,0.660153,2,7,0,4083.77,0.89628,0.901439
-4082.48,0.983334,0.873319,2,3,0,4082.5,0.89431,0.902147
-4082.92,0.178334,1.41691,1,3,0,4084.08,0.909635,0.89822
-4082.67,0.993224,0.30233,3,7,0,4083.24,0.907061,0.898765
-4083.28,0.942932,0.503008,3,9,0,4083.46,0.900037,0.902584
-4083.58,0.833671,0.733431,2,3,0,4084.36,0.899546,0.896588
-4082.38,1,0.813153,1,1,0,4082.87,0.903339,0.898421
-4082.66,0.639367,1.35057,1,1,0,4082.88,0.906239,0.899172
-4083.27,0.738923,0.929732,1,3,0,4083.43,0.896808,0.897801
-4083.27,0.340341,0.817367,1,3,0,4085.87,0.896808,0.897801
-4082.36,0.998569,0.277752,3,15,0,4083.69,0.895539,0.900591
-4082.52,0.893159,0.456582,2,3,0,4083.24,0.902827,0.900188
-4082.43,0.919598,0.581484,2,7,0,4083.25,0.894255,0.901844
-4082.82,0.966857,0.785249,2,5,0,4083,0.910069,0.897079
-4082.82,0.0186279,1.17889,1,3,0,4083.86,0.910069,0.897079
-4082.91,0.998626,0.196727,3,7,0,4083,0.909557,0.896073
-4084.09,0.910911,0.318795,2,3,0,4084.24,0.904588,0.894757
-4082.37,0.987275,0.420271,3,11,0,4084.25,0.894987,0.901305
-4084.07,0.61931,0.656454,1,3,0,4084.18,0.890531,0.898879
-4083.6,0.996195,0.444932,3,11,0,4084.62,0.910232,0.899456
-4083.91,0.968872,0.704749,2,5,0,4084.64,0.887393,0.900357
-4083.91,0.00613824,1.04448,2,3,0,4084.2,0.887393,0.900357
-4082.47,0.992615,0.182961,2,7,0,4084.69,0.893369,0.901066
-4083.21,0.99408,0.286597,3,15,0,4084.08,0.886953,0.904708
-4082.96,0.976869,0.447967,2,3,0,4083.44,0.887609,0.903816
-4082.45,0.995806,0.670932,2,3,0,4082.99,0.89336,0.901397
-4082.97,0.0477629,1.04195,3,11,0,4083.29,0.901443,0.901669
-4082.79,0.995459,0.209712,3,15,0,4083.66,0.899671,0.8978
-4082.52,0.998771,0.325897,3,15,0,4082.92,0.901857,0.897944
-4083.18,0.987492,0.50749,3,11,0,4083.51,0.888972,0.904622
-4083.02,0.8201,0.767831,2,3,0,4083.54,0.893295,0.903751
-4083.25,0.81281,0.813275,3,7,0,4083.64,0.899653,0.897015
-4083.79,0.617672,0.847789,2,7,0,4084.92,0.884279,0.902104
-4082.43,0.799354,0.588567,2,7,0,4084.91,0.904203,0.898072
-4082.84,0.728763,0.597366,2,3,0,4083.72,0.901368,0.897276
-4082.69,0.897825,0.524165,2,3,0,4083.74,0.905685,0.899526
-4083.06,0.803149,0.651076,2,3,0,4083.78,0.901604,0.901781
-4082.74,0.974731,0.665295,2,7,0,4083.19,0.898505,0.902073
-4085.21,0.398711,0.962384,2,7,0,4085.56,0.875866,0.904666
-4084.21,1,0.433919,2,3,0,4085.18,0.884393,0.906772
-4084.07,0.995199,0.659231,3,7,0,4085.19,0.88272,0.906577
-4084.07,0.207802,0.987832,1,1,0,4084.92,0.88272,0.906577
-4084.06,0.998507,0.308247,3,7,0,4084.44,0.880407,0.906195
-4086.27,0.831463,0.464755,2,3,0,4087.13,0.872823,0.909697
-4085.38,0.972249,0.50234,2,3,0,4086.54,0.874017,0.907931
-4082.57,0.766809,0.714846,2,5,0,4086.86,0.898616,0.901659
-4082.88,0.969748,0.679165,2,7,0,4083.05,0.888864,0.901896
-4082.52,0.411725,0.957163,2,3,0,4082.91,0.892725,0.901128
-4082.33,0.99289,0.457491,2,7,0,4083.07,0.89991,0.899195
-4082.3,0.957223,0.673119,2,3,0,4082.42,0.900121,0.899978
-4082.3,8.64523e-07,0.921718,1,1,0,4086.59,0.900121,0.899978
-4082.89,0.978889,0.203029,2,7,0,4083.24,0.903575,0.900828
-4083.58,0.98328,0.290381,3,15,0,4084.84,0.886673,0.90123
-4082.35,1,0.417423,3,11,0,4083.62,0.896721,0.901229
-4082.86,0.877951,0.617206,2,5,0,4083.32,0.889481,0.90372
-4082.86,0.00210773,0.72365,1,1,0,4086.99,0.889481,0.90372
-4082.76,0.995643,0.165502,3,11,0,4083.26,0.890426,0.901399
-4082.35,0.999457,0.242437,3,11,0,4083.27,0.901173,0.900028
-4082.33,0.979762,0.356467,3,7,0,4082.69,0.901613,0.89893
